CountryCode,Country,SeriesCode,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
894,Zambia,553,"Maternal mortality ratio per 100,000 live births",577,584,589,592,597,596,598,598,596,569,541,518,493,472,414,372,338,311,289,274,262,251,243,237,231,224
894,Zambia,570,"Births attended by skilled health personnel, percentage", , ,50.5, , , ,46.5, , ,47.1, , ,43.4, , , , ,46.5, , , , , , ,64.2,
716,Zimbabwe,553,"Maternal mortality ratio per 100,000 live births",440,428,414,405,427,449,479,505,530,563,590,621,642,657,648,629,600,564,533,485,446,409,379,369,401,443
716,Zimbabwe,570,"Births attended by skilled health personnel, percentage", , , , ,69.2, , , , ,72.5, , , , , , ,68.5, , ,60.2, ,66.2, , ,80,
4,Afghanistan,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , ,4.9, , ,10.3, ,13.6,18.6, ,22.8, ,21.8,21.2, , , ,
4,Afghanistan,761,"Adolescent birth rate, per 1,000 women", , , ,194, , , , ,175, , , , ,146, , , , ,90, , , , , , ,
4,Afghanistan,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , ,16.1, , , , ,36, ,59.6,47.9, , , ,
4,Afghanistan,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , ,16.1,14.6, , , ,
8,Albania,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , ,57.5, ,75.1, , ,60.1, , , ,69.3, , , , , ,
8,Albania,761,"Adolescent birth rate, per 1,000 women",13.8,13.3,14.7,15.4,19.1,21.5,21.4,18.6,17.1,15.5,15.3, ,14.9,16.9,14.9,16.2,13.1,11.5,18.5,18.4,18,18.6,18.5,17.6, ,
8,Albania,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , ,95.3, ,90.6, , ,97.1, , , ,97.3, , , , , ,
8,Albania,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , ,41.1, , , , , , ,66.8, , , , , ,
12,Algeria,730,"Percentage contraceptive use for married women ages 15-49", , ,50.9, , ,56.9, , , , ,64, ,57, , , ,61.4, , , , , ,55.9, , ,
12,Algeria,761,"Adolescent birth rate, per 1,000 women",23,26,26, ,24,21,19, ,7, ,6, , , , ,4.4, ,9,8.8,9.6,10.2,10.7,11.8,12.4, ,
12,Algeria,762,"Antenatal care coverage, at least one visit, percentage", , ,58, , , , , , , ,79, ,80.7, , , ,89.4, , , , , , ,92.7, ,
12,Algeria,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , ,67.3, ,
16,American Samoa,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , , , , ,
16,American Samoa,761,"Adolescent birth rate, per 1,000 women",57.5,59.8,49.3,59.5,59.1,52.9,49.1,52.1,52.9,57,55.7,48.5,46.1,39.5,44.5,33.9,37.4, , , ,34, , , , ,
16,American Samoa,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
16,American Samoa,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
20,Andorra,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , , , , ,
20,Andorra,761,"Adolescent birth rate, per 1,000 women", , , , , , , , , , , , ,6.7,7.1,4.9, ,10.6,7.3,9.1,5.1,4.5, , , , ,
20,Andorra,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
20,Andorra,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
24,Angola,730,"Percentage contraceptive use for married women ages 15-49", , , , , , ,8.1, , , , ,6.2, , , , , , , ,17.7, , , , , ,
24,Angola,761,"Adolescent birth rate, per 1,000 women", , , , , , ,145.6, , , , ,122.4, , , ,166, , ,188,190.9, , , , , ,
24,Angola,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , ,79.8, , , , , , , ,
24,Angola,763,"Antenatal care coverage, at least four visits, percentage", , , , , , ,31.5, , , , , , , , , , , , , , , , , , ,
660,Anguilla,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , ,43, , , , , , , , , , , ,
660,Anguilla,761,"Adolescent birth rate, per 1,000 women",57.9,76.9,46,59,52.3,37.1,50.5,49.5,59.3,60.3,72.9,58.4,42.9,47.8,46.7,38.4,46, , , , , , , , ,
660,Anguilla,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
660,Anguilla,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
28,Antigua and Barbuda,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , , , , ,
28,Antigua and Barbuda,761,"Adolescent birth rate, per 1,000 women",82.9,71.9,73.1,69.3,70.8,81.4,79.6,63.6,65.7,62.4,60,66.8, , , , , , , , , , , , , ,
28,Antigua and Barbuda,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , ,82, ,99.9, , , ,100,99.9, ,100,100, , , , , , ,
28,Antigua and Barbuda,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , ,100, ,
32,Argentina,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , ,65.3, , , ,78.9, , , , , , ,55.4, , ,
32,Argentina,761,"Adolescent birth rate, per 1,000 women",68.3,69.6,65.5,63.1,62.6,61.7,62.8,66.8,64.9,64,64.7,61,61.5,57.5,63.8,63.8,63,64.5,67.5,68.2,69.1,69.6, , , ,
32,Argentina,762,"Antenatal care coverage, at least one visit, percentage", , , ,95, , , , , , , ,97.5, , , ,99.2, , , , , , ,98.1, , ,
32,Argentina,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , ,89.3, , , , , , ,89.8, , ,
51,Armenia,730,"Percentage contraceptive use for married women ages 15-49", ,56, , , , , , , , ,60.5, , , , ,53.1, , , , ,54.9, , , , ,
51,Armenia,761,"Adolescent birth rate, per 1,000 women",74.6,84.9,94.2,89.4,79.9,66.6,63.1,51.4,40.9,35.5,32.8, ,28.8,30.4,31,26.8,27.9,29.1,30.5,33.5,28.3,26.4,26,22.7, ,
51,Armenia,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , ,82, , ,92.4, , , , ,93, , , , ,99.1, , , , ,
51,Armenia,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , ,64.7, , , , ,70.9, , , , ,92.8, , , , ,
533,Aruba,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , , , , ,
533,Aruba,761,"Adolescent birth rate, per 1,000 women", ,57,52.2,52.4,47.1,50.7,47.5,49.5,38.3,42.2,52.7,41.2,35.6,34.6,36.2,39.9,43.3,43.4,41.4,42.1,42.3,39.6,36.5,33.8, ,
533,Aruba,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
533,Aruba,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
36,Australia,730,"Percentage contraceptive use for married women ages 15-49", , , , , ,66.7, , , , , , ,70.8, , ,72.3, , , , , , , , , ,
36,Australia,761,"Adolescent birth rate, per 1,000 women",21.4,21.1,21.2,20.3,20.3,20.2,20,19.5,18.5,18.1,17.5,17.5,16.9,15.8,15.8,15.5,14.9,15.4,16.7,16.4,15.3,15.3, ,14.1, ,
36,Australia,762,"Antenatal care coverage, at least one visit, percentage", ,100, , , , , , , , , , , , , , , , ,98.3, , , , , , ,
36,Australia,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , ,92, , , , , , ,
40,Austria,730,"Percentage contraceptive use for married women ages 15-49", , , , , , ,50.9, , , , , , , , , , , , ,69.6, , , , , ,
40,Austria,761,"Adolescent birth rate, per 1,000 women",21.3,22.9,23.2,22.7,19.2,17.6,15.8,14.9,14.1,13.1, ,13.3,13.3,12.8,13.5,12.9,12,11.2,11.1,10.3,10.1,8.9,8.4, , ,
40,Austria,762,"Antenatal care coverage, at least one visit, percentage", , , ,100, , , , , , , , , , , , , , , , , , , , , ,
40,Austria,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
31,Azerbaijan,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , ,55.1,55.4, , , , ,51.1, , , , , , , , ,
31,Azerbaijan,761,"Adolescent birth rate, per 1,000 women",25.6,29.4,33.8,37.5,39.8,39,35.2,40.3,35.7,31.7,28.7,25.8,25.5,26.7,29.8,41.1,44,37.5,40,40.5,47,56.7,53.3,47.2, ,
31,Azerbaijan,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , ,98.3, , ,66,70, , , , ,76.9, , , , ,91.7, , , ,
31,Azerbaijan,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , ,30.4, , , , ,45.2, , , , ,66.1, , , ,
44,Bahamas,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , , , , ,
44,Bahamas,761,"Adolescent birth rate, per 1,000 women",69.9,64.8,77.4,75.7, ,65.1,63.7,61.1,55.5,48.9,46.6,47.5,43.8,42.8,44,41.1,36.1,39.5, , , , , , , ,
44,Bahamas,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , ,98,98, , , , , , , ,
44,Bahamas,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , ,85, ,
48,Bahrain,730,"Percentage contraceptive use for married women ages 15-49", , , , , ,61.8, , , , , , , , , , , , , , , , , , , ,
48,Bahrain,761,"Adolescent birth rate, per 1,000 women",22.4,20.5,22.4,21.9,20.6,21.5,20.4,19.8,21.6,19.5,15.1,12.1,12.8,18.5,18.7,16.9,13.3,12.5,12.1,14.7,14.5,14.2,14.5, , ,
48,Bahrain,762,"Antenatal care coverage, at least one visit, percentage", , , , , ,97.1, , , , , , , , , , , ,100, , , , , , , ,
48,Bahrain,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
50,Bangladesh,730,"Percentage contraceptive use for married women ages 15-49", ,39.9, , ,44.9, , ,49.8, , ,54.3, , , ,58.5, , ,55.8, , , ,61.2, ,61.8, ,
50,Bangladesh,761,"Adolescent birth rate, per 1,000 women",179,159, , ,157, , ,147, , ,134,146, , ,133, , , , ,128, ,83, , , ,
50,Bangladesh,762,"Antenatal care coverage, at least one visit, percentage", , , , ,25.7, , ,26.4, ,33.3,39.7,39.8, , ,48.7, ,47.7,51.7, , ,52.8,54.6, ,58.7,63.9,
50,Bangladesh,763,"Antenatal care coverage, at least four visits, percentage", , , , ,6, , ,5.8, , ,10.5,11.6, , ,15.9, , ,20.6, , ,23.4,25.5, ,24.7,31.2,
52,Barbados,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , ,59.2, , ,
52,Barbados,761,"Adolescent birth rate, per 1,000 women",57.1,56.4,59, , , , , ,56.3,55.5,62.2,66.3,56.9,53.6, ,46.2,45.4,48.9, , , , , , , ,
52,Barbados,762,"Antenatal care coverage, at least one visit, percentage",100, , , , , , , , ,89, , , ,100,100,100,100,100, , , , , , , ,
52,Barbados,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
112,Belarus,730,"Percentage contraceptive use for married women ages 15-49", , , , , ,50.4, , , , , , , , , ,72.6, , , , , , ,63.1, , ,
112,Belarus,761,"Adolescent birth rate, per 1,000 women",36.7,44.1,44.9,43,42.5,38.9,35.7,33.1,30.7,29.3,27,25.8,24.3,24,22.7,21.7,22.4,22.1,22.4,22.4,20.7,20.9,22.4,22.1, ,
112,Belarus,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , ,99.9, , , , , ,99.4, , , , , , ,99.7, , ,
112,Belarus,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , ,99.7, , ,
56,Belgium,730,"Percentage contraceptive use for married women ages 15-49", , ,78.4, , , , ,56.5, , , ,75.6, , ,74.6, , , , , ,70.4, , , , ,
56,Belgium,761,"Adolescent birth rate, per 1,000 women", , ,11.6,10.8,10.2,9.8,10.1,10,10.2,10.7,10.7,11.7,10.7,10.5,10.5,10.5,10.4,10.5,10.3, ,9.2,9,8.4, , ,
56,Belgium,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
56,Belgium,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
84,Belize,730,"Percentage contraceptive use for married women ages 15-49", ,46.7, , , , , , , ,56.1, , , , , , ,34.3, , , , ,55.2, , , ,
84,Belize,761,"Adolescent birth rate, per 1,000 women",133,121.2,112.6, , , , , ,104, , ,98.4,93.1, , , , , , , ,64, , , , ,
84,Belize,762,"Antenatal care coverage, at least one visit, percentage", ,96, , , , , , , ,95.9, , , , , , ,94, , , , ,96.2, , , ,
84,Belize,763,"Antenatal care coverage, at least four visits, percentage", ,76.4, , , , , , , , , , , , , , , , , , , ,83.1, , , ,
204,Benin,730,"Percentage contraceptive use for married women ages 15-49", , , , , , ,16.4, , , , ,18.6, , , , ,17, , , , , ,12.9, , ,
204,Benin,761,"Adolescent birth rate, per 1,000 women", , ,140, ,123, , , , ,108, , ,87, ,114, , , , ,98, , , , , ,
204,Benin,762,"Antenatal care coverage, at least one visit, percentage", , , , , , ,77.8, , , , ,81.1, , , , ,84.1, , , , , ,83.5, ,82.8,
204,Benin,763,"Antenatal care coverage, at least four visits, percentage", , , , , , ,53.7, , , , ,61.6, , , , ,60.5, , , , , ,58.2, ,58.8,
60,Bermuda,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , , , , ,
60,Bermuda,761,"Adolescent birth rate, per 1,000 women",36.7,34.6, , , ,33.7,37.2,48.1,35.8,28.4,23.7,35.5,28.6,38.6, , ,17.9,12.9,16,16.4,16.6,6.1, , , ,
60,Bermuda,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
60,Bermuda,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
64,Bhutan,730,"Percentage contraceptive use for married women ages 15-49", , , , ,18.8, , , , , ,30.7, , , , , , ,, , ,65.6, , , , ,
64,Bhutan,761,"Adolescent birth rate, per 1,000 women", , , ,120, , , , , , ,61.7, , , , ,46.3, , , ,59, ,19.6,28.4, , ,
64,Bhutan,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , ,51, , , , , , ,88, , ,97.3, ,97.9, , ,
64,Bhutan,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , ,77.3, ,81.5, , ,
68,Bolivia,730,"Percentage contraceptive use for married women ages 15-49", , , , ,45.3, , , ,48.3, ,53.4, , , ,58.4, , , ,60.5, , , , , , ,
68,Bolivia,761,"Adolescent birth rate, per 1,000 women", ,96,96.4, , ,88, , , , , ,97, , , ,89, , , , , , , , , ,
68,Bolivia,762,"Antenatal care coverage, at least one visit, percentage", , , , ,52.5, , , ,69, ,82.6, , ,79.1, , , , ,85.8, , , ,90.1, , ,
68,Bolivia,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , ,48, , , , ,57.9, , , , ,72.1, , , ,75.3, , ,
70,Bosnia and Herzegovina,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , ,47.5, , , , , ,35.7, , , , , ,45.8, , ,
70,Bosnia and Herzegovina,761,"Adolescent birth rate, per 1,000 women",40.9,41.7, , , , ,28.9,34.4,24.4,22.1,18,18.3,16.1,13.4,14.7,14.6,14.8,14.9,15.8,15,13.6, , ,11, ,
70,Bosnia and Herzegovina,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , ,99.2, , , , , ,98.9, , , , , ,87, , ,
70,Bosnia and Herzegovina,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , ,84.2, , ,
72,Botswana,730,"Percentage contraceptive use for married women ages 15-49", , , , , , ,41.7, , , ,44.4, , , , , , , ,52.8, , , , , , ,
72,Botswana,761,"Adolescent birth rate, per 1,000 women", ,92, , , , , , , , , ,51, , , , ,51, , , , ,39, , , ,
72,Botswana,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , ,96.8, , , , , , ,94.1, , , , , , , ,
72,Botswana,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , ,73.3, , , , , , , ,
76,Brazil,730,"Percentage contraceptive use for married women ages 15-49", , , , , , ,76.7, , , , , , , , , ,80.3, , , , , , , , ,
76,Brazil,761,"Adolescent birth rate, per 1,000 women", , , , , , ,83.9, ,86.5,90,88.1,85,81.5,78.9,77.6,76.3,74.5,72.2,70.1,68,67.4,64.8, , , ,
76,Brazil,762,"Antenatal care coverage, at least one visit, percentage", , , , , , ,85.7, , , , , , ,96.8,97.2,97.4,97.8,96.7, ,98.2, , , , , ,
76,Brazil,763,"Antenatal care coverage, at least four visits, percentage", , , , , , ,75.9, , , , , , , , ,87,89,88.7, ,90.5, ,89.8,88.7, , ,
92,British Virgin Islands,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , , , , ,
92,British Virgin Islands,761,"Adolescent birth rate, per 1,000 women",28.4,45.6,53.5,47.3,37.7, , ,46.7,39,51.8,45.6,33.9,35.8,32.8,40,28.8,25,27.4, , , , , , , ,
92,British Virgin Islands,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
92,British Virgin Islands,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
96,Brunei Darussalam,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , , , , ,
96,Brunei Darussalam,761,"Adolescent birth rate, per 1,000 women",34.7,35.9,37.7, , , ,29.2,27.8,29.9,29.3,31.8,29.6,27.1, , , ,18.2,18.8,16.8, , , , , , ,
96,Brunei Darussalam,762,"Antenatal care coverage, at least one visit, percentage", , , , ,100, , , , , , , , , , , , , , ,99, , , , , ,
96,Brunei Darussalam,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
100,Bulgaria,730,"Percentage contraceptive use for married women ages 15-49", , , , , ,85.9, , ,63.4, , , , , , ,64.4, ,69.2, , , , , , , ,
100,Bulgaria,761,"Adolescent birth rate, per 1,000 women",70.4, ,68.9,66.4,60.2,52.9, ,44.5, , ,46.8,43.1,40.4,39.3, ,39.6,41.8,43,45.6,49.1,42.9,42,42.5, , ,
100,Bulgaria,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
100,Bulgaria,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
854,Burkina Faso,730,"Percentage contraceptive use for married women ages 15-49", , , ,24.9, , , , , ,11.9, , , ,13.8, , ,17.4, , , , ,16.2, , ,17,
854,Burkina Faso,761,"Adolescent birth rate, per 1,000 women",154, , , , , ,144, , , , ,131, , , , ,127.5, ,136, , , , , , ,
854,Burkina Faso,762,"Antenatal care coverage, at least one visit, percentage", , , ,58.6, , , , , ,60.7, , , ,73.4, , ,85, , , ,94.3, , , , ,
854,Burkina Faso,763,"Antenatal care coverage, at least four visits, percentage", , , ,22.6, , , , , ,22.7, , , ,17.6, , , , , , ,33.7, , , , ,
108,Burundi,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , ,15.7, ,19.7, , ,9.1, , , , , ,21.9, , , ,
108,Burundi,761,"Adolescent birth rate, per 1,000 women",33, , , , ,60, , ,40, ,26.7,30, , , , , , ,65, , , , , , ,
108,Burundi,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , ,78, , , , ,92.4, , , , ,98.9, , , , ,
108,Burundi,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , ,33.4, , , , ,
116,Cambodia,730,"Percentage contraceptive use for married women ages 15-49", , , , , ,12.6, , ,21.8, ,23.8, , , , ,40, , , , , ,50.5, , ,56.3,
116,Cambodia,761,"Adolescent birth rate, per 1,000 women", , , ,90, , ,52,51, , , , , ,52, , , , ,48, , , ,30,57, ,
116,Cambodia,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , ,34.3, ,37.7, , , , ,69.3, , , , ,89.1, , , ,95.3,
116,Cambodia,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , ,8.9, , , , ,27, , , , ,59.4, , , ,75.6,
120,Cameroon,730,"Percentage contraceptive use for married women ages 15-49", ,16.1, , , , , , ,19.3, ,25.6, , , ,26, ,29.2, , , , ,23.4, , , ,
120,Cameroon,761,"Adolescent birth rate, per 1,000 women", , , , , ,142, , , , ,136.4,141, , , , , , ,128, , , , , , ,
120,Cameroon,762,"Antenatal care coverage, at least one visit, percentage", ,78.8, , , , , , ,78.8, ,75.3, , , ,83.3, ,82, , , , ,84.7, , , ,
120,Cameroon,763,"Antenatal care coverage, at least four visits, percentage", ,49, , , , , , ,52.4, , , , , ,60.4, , , , , , ,62.2, , , ,
124,Canada,730,"Percentage contraceptive use for married women ages 15-49", , , , , ,74.7, , ,80, , , ,74, , , , , , , , , , , , ,
124,Canada,761,"Adolescent birth rate, per 1,000 women",25,25.7,25.4,24.7,24.9,24.3,22.2,20,19.8,18.6,17,16,14.8,14.2,14,13.1,13.5,14,14.2,14.2,13.5,12.6, , , ,
124,Canada,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , ,100, , , , , , , ,
124,Canada,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , ,99, , , , , , , ,
132,Cape Verde,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , ,52.9, , , , , , ,61.3, , , , , , , , , ,
132,Cape Verde,761,"Adolescent birth rate, per 1,000 women",79.1, , , , , ,100, , , ,92, , ,92, , , , , , , , , , , ,
132,Cape Verde,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , ,99.3, , , , , , ,97.6, , , , , , , , , ,
132,Cape Verde,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , ,63.9, , , , , , ,72.3, , , , , , , , , ,
136,Cayman Islands,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , , , , ,
136,Cayman Islands,761,"Adolescent birth rate, per 1,000 women",91.4,70.5,71.2,69.2,67, , , , , , , , , , , , , , ,28.2,28.2,25.6, , , ,
136,Cayman Islands,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
136,Cayman Islands,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
140,Central African Republic,730,"Percentage contraceptive use for married women ages 15-49", , , , , ,14.8, , , , ,27.9, , , , , ,19, , , , ,15.2, , , ,
140,Central African Republic,761,"Adolescent birth rate, per 1,000 women", , ,159, , , , , , , ,166.1, , ,132.9, , , , , ,229, , , , , ,
140,Central African Republic,762,"Antenatal care coverage, at least one visit, percentage", , , , , ,66.9, , , , ,62, , , , , ,69.3, , , ,68.2, , , , ,
140,Central African Republic,763,"Antenatal care coverage, at least four visits, percentage", , , , , ,39.7, , , , , , , , , , , , , , ,38.1, , , , ,
148,Chad,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , ,4.1, , ,7.9, , , ,2.8, , , , , ,4.8, , , , ,
148,Chad,761,"Adolescent birth rate, per 1,000 women", , , ,119,194, , , , , ,146, ,193, , , , , , ,203.4, , , , , ,
148,Chad,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , ,23.4, , ,41.6, , , ,38.9, , , , , ,53.2, , , , ,
148,Chad,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , ,14.8, , , , , , ,17.8, , , , , ,23.1, , , , ,
830,Channel Islands,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , , , , ,
830,Channel Islands,761,"Adolescent birth rate, per 1,000 women", ,16.9, , , , , , , , , , , , , , , , , , , , , , , ,
830,Channel Islands,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
830,Channel Islands,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
152,Chile,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , ,60.7, , , , ,64.2, , , , , , , , ,
152,Chile,761,"Adolescent birth rate, per 1,000 women",64.5,63.2,63.2,64.1,65.6,65.4,65.9,66,65.4,61.9,60.1,57.7,53.2,48.4, ,48.7,50.4,52.5,53.9,53.6,51.9,50.1, , , ,
152,Chile,762,"Antenatal care coverage, at least one visit, percentage", , , ,95, , , , , , , , , , , , , , , , , , , , , ,
152,Chile,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
156,China,730,"Percentage contraceptive use for married women ages 15-49", , ,84.6, , , , ,83.8, , , ,86.9, , , , ,84.6, , , , , , , , ,
156,China,761,"Adolescent birth rate, per 1,000 women",16,15.9,9.6,17.1,14.9,14.5,11.8,9.8,9,2.6,6,2.7,2.7,5.3,5.6,6.3,4.6,3.8,5.3,6.2, , , , , ,
156,China,762,"Antenatal care coverage, at least one visit, percentage", , ,69.7,72.2,76.3,78.7,83.7,85.9,87.1,89.3,89.4,90.3,90.1,88.9,89.7,89.8,89.7,90.9,91,92.2,94.1,93.7,95,95.6, ,
156,China,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
344,"China, Hong Kong Special Administrative Region",730,"Percentage contraceptive use for married women ages 15-49", , ,86.2, , , , ,86, , , , ,86.2, , , , ,79.5, , , , , , , ,
344,"China, Hong Kong Special Administrative Region",761,"Adolescent birth rate, per 1,000 women",5.7,6.1,6.1,6.5,6.4,5.9,5.7,5.5,5.2,4.6,4.3,3.8,3.4,3.3,3.7,3.7,4,3.9,3.8,3.5,3.8,3.7, , , ,
344,"China, Hong Kong Special Administrative Region",762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
344,"China, Hong Kong Special Administrative Region",763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
446,"China, Macao Special Administrative Region",730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , , , , ,
446,"China, Macao Special Administrative Region",761,"Adolescent birth rate, per 1,000 women",8.6,9.4,8.1,6.2,7,7.5,5.8,5.1,5,5.9,5.3,5, ,4.6,4.2,4,4.2,3.7,3.2,3.2,2.9,2.9, , , ,
446,"China, Macao Special Administrative Region",762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
446,"China, Macao Special Administrative Region",763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
170,Colombia,730,"Percentage contraceptive use for married women ages 15-49",66.1, , , , ,72.2, , , , ,76.9, , , , ,78.2, , , , ,79.1, , , , ,
170,Colombia,761,"Adolescent birth rate, per 1,000 women", , ,92, , , , ,85, ,82.6,80.6, ,92, , ,96.2, ,85, , , , , , , ,
170,Colombia,762,"Antenatal care coverage, at least one visit, percentage",82, , , , ,82.6, , , , ,90.8, , , , ,93.5, , , , ,97, , , , ,
